epoch,train_loss,test_loss
1,0.528996,0.507851
2,0.312912,0.189052
3,0.229320,0.172670
4,0.219144,0.164168
5,0.211412,0.157064
6,0.194377,0.144772
7,0.171960,0.126613
8,0.148177,0.109442
9,0.136351,0.105517
10,0.131638,0.108267
11,0.129325,0.103394
12,0.127305,0.099368
13,0.124988,0.100405
14,0.123128,0.107105
15,0.122333,0.099355
16,0.120847,0.096179
17,0.120402,0.101887
18,0.119765,0.112948
19,0.119140,0.104563
20,0.118019,0.102841
21,0.118020,0.102523
22,0.117847,0.104280
23,0.116667,0.100889
24,0.116076,0.104221
25,0.116327,0.098535
26,0.115881,0.106069
27,0.115184,0.102164
28,0.114926,0.104039
29,0.114388,0.094039
30,0.114089,0.103819
31,0.113933,0.098119
32,0.113319,0.092388
33,0.113729,0.090309
34,0.112943,0.103657
35,0.114406,0.098599
36,0.112098,0.103812
37,0.112879,0.093453
38,0.111566,0.100314
39,0.111308,0.092072
40,0.110619,0.091876
41,0.110371,0.089546
42,0.110316,0.094998
43,0.109890,0.098602
44,0.110065,0.096897
45,0.109750,0.093110
46,0.109048,0.092348
47,0.108825,0.092349
48,0.108418,0.094579
49,0.108488,0.090724
50,0.107751,0.089346
